<DOC>	<DOC>+BDTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-1107930
yüzden	TUR10-1107930
,	TUR10-0820240
seni	TUR10-0676460
ödüllendirmek	TUR10-0561210
için	TUR10-0359030
sorunu	TUR10-0527970
cevapsız	TUR10-0888170
bırakmayacağım	TUR10-0888170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onun	TUR10-0581470
kırdığı	TUR10-0029600
cevizler	TUR10-0137570
artık	TUR10-0371210
haddini	TUR10-0898860
aştı	TUR10-0898860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hırsızlıktan	TUR10-0327190
üç	TUR10-0806010
ay	TUR10-0058930
ceza	TUR10-0888230
çekti	TUR10-0888230
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yalnız	TUR10-0829390
Efe'den	TUR10-0000000
kimsenin	TUR10-0461310
şikâyeti	TUR10-0727670
yokmuş	TUR10-0858030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dal	TUR10-0888520
gibi	TUR10-0888520
bir	TUR10-0105570
vücut	TUR10-0236430
üzerinde	TUR10-0811710
dev	TUR10-1004670
gibi	TUR10-1004670
bir	TUR10-0105570
baş	TUR10-0397540
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Efendi	TUR10-0098320
aksi	TUR10-0165740
mi	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İlk	TUR10-0369130
geldiğimizde	TUR10-0185910
hava	TUR10-1046290
değiştirmekten	TUR10-1046290
olmalı	TUR10-0585900
,	TUR10-0820240
dalıp	TUR10-0888740
gidiyorduk	TUR10-0888740
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Konya'ya	TUR10-1084590
döndüğüm	TUR10-0058070
vakit	TUR10-0144520
benim	TUR10-0092580
motor	TUR10-0551100
,	TUR10-0820240
dama	TUR10-0189420
Erol	TUR10-0000000
Efendi	TUR10-0098320
,	TUR10-0820240
dedi	TUR10-1242470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0572460
olur	TUR10-0585900
biraz	TUR10-0105940
uslu	TUR10-1156550
otursanız	TUR10-1156550
,	TUR10-0820240
şu	TUR10-0734010
adamların	TUR10-0339670
da	TUR10-0994850
damarına	TUR10-0888850
basmasanız	TUR10-0888850
,	TUR10-0820240
olmaz	TUR10-0405220
mı	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Damdan	TUR10-0888910
düşer	TUR10-0888910
gibi	TUR10-0888910
birdenbire	TUR10-0040320
söyleyecek	TUR10-0191150
,	TUR10-0820240
açacak	TUR10-0006570
olursam	TUR10-0184900
itiraz	TUR10-1063550
eder	TUR10-1063550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nuri	TUR10-0000000
Usta	TUR10-0800310
,	TUR10-0820240
sanki	TUR10-0663510
çırılçıplakmış	TUR10-0241150
da	TUR10-0994850
derisine	TUR10-0140820
kızgın	TUR10-0458780
demirle	TUR10-0191490
damga	TUR10-0888930
vuruluyormuş	TUR10-0888930
gibi	TUR10-0297510
irkildi	TUR10-0378820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fakat	TUR10-0031730
gel	TUR10-0185910
gör	TUR10-0672700
ki	TUR10-0459900
insana	TUR10-0932620
aşüfte	TUR10-0054150
yahut	TUR10-0818910
hırsız	TUR10-1231290
damgasını	TUR10-0888950
vurmak	TUR10-0888950
için	TUR10-0359030
bu	TUR10-0120760
kâfi	TUR10-0583390
değildir	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Acaba	TUR10-0002470
bu	TUR10-0120750
içinde	TUR10-0359140
yaşadığımız	TUR10-0839660
hava	TUR10-0032500
neden	TUR10-0572510
bu	TUR10-0124500
kadar	TUR10-0124500
dar	TUR10-0889010
geliyor	TUR10-0889010
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Darağacına	TUR10-0673780
çekilmiş	TUR10-1060940
bir	TUR10-0105570
adam	TUR10-0884380
gibi	TUR10-0884380
göğsüm	TUR10-0301860
,	TUR10-0820240
nefes	TUR10-0573100
borularım	TUR10-0114370
birdenbire	TUR10-0040320
tıkanıverdi	TUR10-0621350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Danıştay	TUR10-0000000
,	TUR10-0820240
davaları	TUR10-0889170
görmek	TUR10-0889170
.	TUR10-1081860
ve	TUR10-0816400
kanunlarla	TUR10-0411070
gösterilen	TUR10-0306890
diğer	TUR10-0203010
işleri	TUR10-0385770
yapmakla	TUR10-0385770
görevlidir	TUR10-0264770
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hiçbir	TUR10-0343540
mahkeme	TUR10-0518350
görev	TUR10-0264770
ve	TUR10-0816400
yetkisi	TUR10-0012890
içindeki	TUR10-0487570
davaya	TUR10-0889200
bakmaktan	TUR10-0889200
kaçınamaz	TUR10-0156540
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bereket	TUR10-0047370
versin	TUR10-0515000
ki	TUR10-0459840
boksör	TUR10-0862350
,	TUR10-0820240
dayağa	TUR10-0703040
idmanlıydı	TUR10-0039920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karyolalar	TUR10-0840640
,	TUR10-0820240
koltuklar	TUR10-0469490
,	TUR10-0820240
kanepelerle	TUR10-0157550
dayayıp	TUR10-0889310
döşemek	TUR10-0889310
lazım	TUR10-0293150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Vehbi	TUR10-0000000
Dedenin	TUR10-0879500
kendini	TUR10-0440770
dinlediğinin	TUR10-0908790
farkına	TUR10-0073080
varır	TUR10-0073080
varmaz	TUR10-0123610
dili	TUR10-0889380
dolaştı	TUR10-0889380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
bari	TUR10-0077870
doğru	TUR10-0889460
çıksaydı	TUR10-0889460
,	TUR10-0820240
yazarlığıma	TUR10-0553530
geçmişte	TUR10-0288830
bir	TUR10-0105570
ipucu	TUR10-0190620
bulacaktım	TUR10-1242430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dokuz	TUR10-0215600
körün	TUR10-0482420
bir	TUR10-0105570
değneği	TUR10-0889550
,	TUR10-0820240
işte	TUR10-0386590
bir	TUR10-0105570
kızımız	TUR10-1231620
var	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Küçük	TUR10-0085870
entrikalar	TUR10-0889620
çevirmek	TUR10-0889620
onları	TUR10-0588290
mutlu	TUR10-0728100
kılıyorsa	TUR10-0728100
ne	TUR10-0572460
yapabilirdim	TUR10-0834560
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dışarıda	TUR10-0201590
bulutsuz	TUR10-0124100
bir	TUR10-0105570
temmuz	TUR10-0589450
göğü	TUR10-0302160
,	TUR10-0820240
öğle	TUR10-0316500
güneşinin	TUR10-0315720
yakıcı	TUR10-0826300
aydınlığıyla	TUR10-0060720
dolup	TUR10-0217190
taşıyordu	TUR10-0750000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Günahı	TUR10-0315030
boynuna	TUR10-0116990
,	TUR10-0820240
doping	TUR10-0219030
de	TUR10-0994850
yapıyormuş	TUR10-0834560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Verdiğim	TUR10-0818290
yanıt	TUR10-0831830
doyurucu	TUR10-0889990
gelmemişti	TUR10-0889990
madama	TUR10-1094120
ama	TUR10-0031730
kibarlığını	TUR10-0460000
da	TUR10-0994850
bozmamıştı	TUR10-0117900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Rıfat	TUR10-0000000
Paşa	TUR10-0618010
gibi	TUR10-0297510
terbiyeli	TUR10-0766780
bir	TUR10-0105570
zat	TUR10-0609450
bile	TUR10-0178920
bin	TUR10-0105370
dereden	TUR10-0195680
su	TUR10-0000030
getirir	TUR10-0294910
,	TUR10-0820240
harp	TUR10-0135870
siyasetimizi	TUR10-0697580
methederdi	TUR10-0940600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
hesapların	TUR10-0339850
dökümlerini	TUR10-0890220
alıp	TUR10-0890220
sizlere	TUR10-0697920
vereceğim	TUR10-0656890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şimdi	TUR10-0241000
dönüp	TUR10-0890290
geriye	TUR10-0890290
baktığımda	TUR10-0890290
ne	TUR10-0572460
görüyorum	TUR10-0672700
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Cemil	TUR10-0000000
,	TUR10-0820240
Cemil	TUR10-0000000
!	TUR10-0808050
diye	TUR10-0211490
haykırarak	TUR10-0133220
yağmurun	TUR10-0824030
altında	TUR10-0876570
dört	TUR10-0890330
dönüyordum	TUR10-0890330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Atı	TUR10-0228820
dörtnala	TUR10-0890390
kaldırdı	TUR10-0890390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Uslu	TUR10-1156550
otur	TUR10-1156550
yoksa	TUR10-0858360
ufak	TUR10-0796470
bir	TUR10-0105570
münasebetsizliğini	TUR10-0562380
duyarsam	TUR10-0227370
eşek	TUR10-0890470
sudan	TUR10-0890470
gelinceye	TUR10-0890470
kadar	TUR10-0890470
döverim	TUR10-0890470
,	TUR10-0820240
kemiklerin	TUR10-0440060
kırılır	TUR10-0027870
,	TUR10-0820240
anladın	TUR10-0037570
mı	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
yeniliklere	TUR10-0849320
yabancı	TUR10-0822750
,	TUR10-0820240
eski	TUR10-0253240
moda	TUR10-0548930
,	TUR10-0820240
çağın	TUR10-0890640
gerisinde	TUR10-0890640
kalmış	TUR10-0890640
,	TUR10-0820240
emekli	TUR10-0245350
bir	TUR10-0105570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
arıza	TUR10-0940010
yapsa	TUR10-0940010
araba	TUR10-0520720
çakılıp	TUR10-0890700
kalacağız	TUR10-0890700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
hoppa	TUR10-0190810
oğlan	TUR10-0458420
,	TUR10-0820240
karısına	TUR10-0644350
ne	TUR10-0572460
diller	TUR10-0890150
dökecek	TUR10-0890150
,	TUR10-0820240
ne	TUR10-0572460
potlar	TUR10-0896480
kıracak	TUR10-0896480
,	TUR10-0820240
ne	TUR10-0572460
çamlar	TUR10-0890790
devirecekti	TUR10-0890790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Benim	TUR10-0092580
dört	TUR10-0222300
çeşit	TUR10-0141550
insan	TUR10-0932620
karşısında	TUR10-0136320
iflahım	TUR10-0361750
kesilir	TUR10-0444110
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çarşaf	TUR10-0891030
kadar	TUR10-0891030
bir	TUR10-0105570
kâğıda	TUR10-0398500
künyemi	TUR10-0502550
yazmışlar	TUR10-0845210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Müdüre	TUR10-0559930
göre	TUR10-0571870
idareci	TUR10-0360700
biraz	TUR10-0105940
çatkın	TUR10-0153380
olacak	TUR10-0584890
yani	TUR10-0831950
oldukça	TUR10-0064910
ağırdan	TUR10-0012230
satacak	TUR10-0668610
kendini	TUR10-0440770
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-1222130
şeyim	TUR10-1222130
yok	TUR10-0858030
,	TUR10-0820240
asabım	TUR10-0694890
bozuk	TUR10-0118060
diye	TUR10-0211490
cevap	TUR10-0831830
veriyor	TUR10-0656890
,	TUR10-0820240
çehre	TUR10-0891290
ediyordu	TUR10-0891290
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eğer	TUR10-0725700
üstümde	TUR10-0176380
tabanca	TUR10-0735680
olsa	TUR10-0586030
bir	TUR10-0107030
iki	TUR10-0107030
demez	TUR10-1242470
çekip	TUR10-0891380
vururdum	TUR10-0891380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Feti	TUR10-0000000
Bey'in	TUR10-0097300
boşu	TUR10-0098000
boşuna	TUR10-0098000
çene	TUR10-0891480
patlatmayacağı	TUR10-0891480
herkesçe	TUR10-1048290
bilinirdi	TUR10-0743870
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çene	TUR10-0891500
yarıştırmak	TUR10-0891500
gelmiyordu	TUR10-0290530
içimden	TUR10-0358980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hasta	TUR10-0526210
aksırır	TUR10-0326880
gibi	TUR10-0297510
bir	TUR10-0105580
ses	TUR10-1200160
çıkardı	TUR10-1200160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yavrum	TUR10-1180500
gelinim	TUR10-0289600
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çenesinin	TUR10-0891650
bağı	TUR10-0891650
çözülmüştü	TUR10-0891650
,	TUR10-0820240
cıvıldıyor	TUR10-0139120
,	TUR10-0820240
annesinden	TUR10-0813510
,	TUR10-0820240
babasından	TUR10-0066140
söz	TUR10-1140580
açıyordu	TUR10-1140580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Âşıkın	TUR10-1033880
olmaz	TUR10-1033880
mı	TUR10-0558870
çile	TUR10-0891740
çekmesi	TUR10-0891740
Çilenin	TUR10-0168240
olmaz	TUR10-0585900
mı	TUR10-0558870
boyun	TUR10-0975520
bükmesi	TUR10-0975520
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Küçükken	TUR10-0499630
çıkardığı	TUR10-0162960
çiçek	TUR10-0166260
,	TUR10-0820240
sabanla	TUR10-0652200
tarla	TUR10-0747580
sürer	TUR10-0717460
gibi	TUR10-0297510
çehresinin	TUR10-0713190
altını	TUR10-0876570
üstüne	TUR10-0934500
getirmiş	TUR10-0934500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yatağa	TUR10-1180100
düşersen	TUR10-1180100
hayvanlara	TUR10-0336130
kim	TUR10-0461150
bakar	TUR10-0287520
nine	TUR10-0465600
,	TUR10-0820240
çifte	TUR10-0167040
çubuğa	TUR10-0175920
kim	TUR10-0461150
gider	TUR10-0297650
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onların	TUR10-0588290
da	TUR10-0994840
belki	TUR10-0092080
merhume	TUR10-0536740
ve	TUR10-0816400
öksüzler	TUR10-0101790
hakkında	TUR10-0811730
söylenilecek	TUR10-0191150
bir	TUR10-0105580
fikirleri	TUR10-0230800
olurdu	TUR10-0990180
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Etrafını	TUR10-1110510
saranla	TUR10-1110510
,	TUR10-0820240
çiğlik	TUR10-0892000
ettin	TUR10-0892000
,	TUR10-0820240
adam	TUR10-0932620
sana	TUR10-0662170
vereceğini	TUR10-0656890
vermiş	TUR10-0656890
,	TUR10-0820240
daha	TUR10-0178860
ne	TUR10-0572460
versin	TUR10-0656890
,	TUR10-0820240
dediler	TUR10-1242470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
ötede	TUR10-0606280
beride	TUR10-0606280
tanıdığım	TUR10-0743730
yaşlı	TUR10-0840180
başlı	TUR10-1194530
Fransızlarla	TUR10-0279630
böyle	TUR10-0120030
konuştukça	TUR10-0473820
kardeşim	TUR10-0419140
çileden	TUR10-0892040
çıkıyordu	TUR10-0892040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çocuk	TUR10-0892320
gibi	TUR10-0892320
adam	TUR10-0339670
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zekâ	TUR10-0873570
gösterisine	TUR10-0306810
yeltenmemiş	TUR10-0055700
,	TUR10-0820240
çokbilmişlik	TUR10-0892430
taslamamıştı	TUR10-0892430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
canım	TUR10-0131430
yolların	TUR10-0858800
,	TUR10-0820240
bu	TUR10-0120750
sevimli	TUR10-0676370
yapıların	TUR10-0833210
harcına	TUR10-0327850
dünyamızdan	TUR10-0161470
nasibini	TUR10-0564770
almamış	TUR10-0564770
binlerce	TUR10-0105370
insanın	TUR10-0932620
alın	TUR10-0498190
teri	TUR10-0498190
karıştığı	TUR10-0421330
akla	TUR10-0927800
gelince	TUR10-0927800
çorbaya	TUR10-0892510
sinek	TUR10-0892510
düşüyor	TUR10-0892510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Efendime	TUR10-0892660
söyleyeyim	TUR10-0892660
,	TUR10-0820240
sütlü	TUR10-0719570
bir	TUR10-0105580
mısır	TUR10-0543400
kebabı	TUR10-0437060
derken	TUR10-1242470
bir	TUR10-0105580
sivrisinek	TUR10-0697260
bulutudur	TUR10-0123990
havalanmış	TUR10-0333020
çeltik	TUR10-0158440
batağından	TUR10-0084500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
anormal	TUR10-0038680
gidiş	TUR10-0299180
bir	TUR10-0105580
yerden	TUR10-0427120
patlak	TUR10-1118110
verirse	TUR10-1118110
ahir	TUR10-0015400
ömründe	TUR10-0209050
ekmeğinden	TUR10-0238970
de	TUR10-0178920
olabilirdi	TUR10-1102980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bedavadan	TUR10-0088300
ekmeğini	TUR10-0892870
yediği	TUR10-0892870
gazeteyi	TUR10-0285360
tekmeledikten	TUR10-0758980
sonra	TUR10-0565820
,	TUR10-0820240
aynı	TUR10-0265000
gazete	TUR10-0285360
geriye	TUR10-0293710
döneni	TUR10-0058070
tekrar	TUR10-0759490
bağrına	TUR10-0016070
nasıl	TUR10-0572510
basar	TUR10-0080020
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kahramanlıktı	TUR10-0029990
yurdun	TUR10-0863380
meyve	TUR10-1099290
veren	TUR10-1099290
tek	TUR10-0256690
dalı	TUR10-0167790
O	TUR10-0581470
da	TUR10-0994850
elden	TUR10-0240850
giderse	TUR10-0029600
nereye	TUR10-0574660
başvurmalı	TUR10-0084210
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yollar	TUR10-0858800
ıssızdı	TUR10-0764480
,	TUR10-0820240
el	TUR10-0240850
ayak	TUR10-0947180
çekilmişti	TUR10-0947180
,	TUR10-0820240
sokaklarda	TUR10-0700130
yolu	TUR10-1186750
şaşırdım	TUR10-1186750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
El	TUR10-0893290
dokunulmamışından	TUR10-0893290
canı	TUR10-0981660
yandığından	TUR10-0981660
artık	TUR10-0072560
az	TUR10-1247530
kullanılmışına	TUR10-0489170
fit	TUR10-0889450
oldu	TUR10-0889450
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Haydi	TUR10-0335140
,	TUR10-0820240
ateş	TUR10-0054710
dansı	TUR10-0642000
yapalım	TUR10-0834560
deniyor	TUR10-0192570
,	TUR10-0820240
el	TUR10-0893320
ele	TUR10-0893320
verip	TUR10-0893320
bir	TUR10-0105570
halay	TUR10-1043420
çekiyoruz	TUR10-1043420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başından	TUR10-0050860
nasıl	TUR10-0572510
bir	TUR10-0105580
sergüzeşt	TUR10-0680380
geçmişti	TUR10-0288830
de	TUR10-0994850
böyle	TUR10-0120030
el	TUR10-0244500
kapılarına	TUR10-0412920
düşmüştü	TUR10-0230440
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0289550
var	TUR10-0289550
ki	TUR10-0289550
niye	TUR10-0572520
bizim	TUR10-0110290
lokmamıza	TUR10-0700500
el	TUR10-0893540
uzatırlar	TUR10-0893540
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eskilerden	TUR10-0253240
bir	TUR10-0105580
kısmını	TUR10-0453830
yok	TUR10-0601860
pahasına	TUR10-0601860
elden	TUR10-0240850
çıkarmak	TUR10-0893690
gerekecek	TUR10-0724810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Otomobil	TUR10-0520720
tamircisi	TUR10-0587580
bir	TUR10-0105580
akrabaları	TUR10-1223830
varmış	TUR10-0814730
,	TUR10-0820240
o	TUR10-0581470
da	TUR10-0994850
arabayı	TUR10-0520720
elden	TUR10-0893730
geçirmiş	TUR10-0893730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
üzücü	TUR10-0002550
durum	TUR10-0226140
karşısında	TUR10-0136320
ağlamamak	TUR10-0013980
elden	TUR10-0893760
gelmiyor	TUR10-0893760
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ondan	TUR10-0588030
hemen	TUR10-0338840
ayrılıp	TUR10-0063590
elektriği	TUR10-0893910
yaktı	TUR10-0893910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eli	TUR10-0893990
ayağı	TUR10-0893990
tutanlar	TUR10-0893990
,	TUR10-0820240
hiçbir	TUR10-0343540
haksızlığa	TUR10-0321180
razı	TUR10-0889450
olmamalıydı	TUR10-0889450
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İşi	TUR10-0384050
var	TUR10-0540500
,	TUR10-0820240
eli	TUR10-0894090
ekmek	TUR10-0894090
tutuyor	TUR10-0894090
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Elli	TUR10-0244130
yaşlarına	TUR10-0839430
doğru	TUR10-0213630
pazarcılık	TUR10-0620190
yapmaya	TUR10-0833230
başladı	TUR10-0082730
;	TUR10-0579400
eli	TUR10-0894220
para	TUR10-0894220
gördü	TUR10-0894220
,	TUR10-0820240
yüzü	TUR10-1190500
güldü	TUR10-1190500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çocuklar	TUR10-0248050
Nimet	TUR10-0577210
Hanım	TUR10-0326100
adında	TUR10-0379560
bir	TUR10-0105580
kadının	TUR10-0501160
elinde	TUR10-0894290
büyüdüler	TUR10-0894290
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nesir	TUR10-0535390
az	TUR10-0064910
çok	TUR10-0064910
benim	TUR10-0092580
de	TUR10-0994850
elimden	TUR10-0388930
geldiği	TUR10-1243240
için	TUR10-0359030
midir	TUR10-0544040
nedir	TUR10-0572460
kabul	TUR10-1065210
edemiyorum	TUR10-1065210
şiirden	TUR10-0525650
güç	TUR10-0312170
olduğunu	TUR10-0586000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kale	TUR10-0492460
düşman	TUR10-0230540
eline	TUR10-0240850
düştü	TUR10-0089850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eliyle	TUR10-0894530
koymuş	TUR10-0894530
gibi	TUR10-0894530
rafta	TUR10-0640930
çay	TUR10-0154890
kavanozunu	TUR10-0429990
buldu	TUR10-0123640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sendikalar	TUR10-0676680
siyasi	TUR10-0632580
amaç	TUR10-0885210
güdemezler	TUR10-0885210
,	TUR10-0820240
siyasi	TUR10-0632580
faaliyette	TUR10-0894640
bulunamazlar	TUR10-0894640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yüzde	TUR10-0867520
beş	TUR10-1237650
yüz	TUR10-1237650
kâr	TUR10-0294760
beklediği	TUR10-0807610
bu	TUR10-0120760
işlerin	TUR10-0384050
alt	TUR10-0030110
tarafı	TUR10-0876570
falso	TUR10-0894790
çıkınca	TUR10-0894790
apışmış	TUR10-0594810
kalmıştı	TUR10-0405220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fasulye	TUR10-0895060
sırığı	TUR10-0895060
gibi	TUR10-0895060
üç	TUR10-0413730
buçuk	TUR10-0413730
akasya	TUR10-0660590
ile	TUR10-0367360
park	TUR10-0615420
mı	TUR10-0558870
olurmuş	TUR10-0184900
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kimseye	TUR10-0461310
faydası	TUR10-0895140
olmayıp	TUR10-0895140
da	TUR10-0994850
yalnız	TUR10-0355170
kendi	TUR10-0440790
nefsine	TUR10-0721410
ayırdığın	TUR10-0061640
servet	TUR10-0209160
,	TUR10-0820240
asla	TUR10-0050580
makbul	TUR10-0287070
değildir	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yağmur	TUR10-0824030
yüzünden	TUR10-1130440
trafik	TUR10-0785540
felce	TUR10-0895240
uğradı	TUR10-0895240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kim	TUR10-0461150
bu	TUR10-0120760
cennet	TUR10-0795760
vatanın	TUR10-0863380
uğruna	TUR10-0797330
olmaz	TUR10-0553220
ki	TUR10-0459900
feda	TUR10-0266650
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
gün	TUR10-0314950
burada	TUR10-0124750
koyu	TUR10-0478870
ateş	TUR10-0054710
renginde	TUR10-0115770
bir	TUR10-0105570
hotoz	TUR10-0348890
görmüştür	TUR10-0672700
ki	TUR10-0459900
feleğini	TUR10-0895380
şaşırmıştır	TUR10-0895380
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bilmeyerek	TUR10-0196730
sütnineciğime	TUR10-1145020
ve	TUR10-0816400
kendime	TUR10-0440790
büyük	TUR10-0128860
bir	TUR10-0105570
fenalık	TUR10-0895470
etmiştim	TUR10-0895470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendinizi	TUR10-0440790
ferah	TUR10-0895540
tutunuz	TUR10-0895540
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nesir	TUR10-0535390
kendini	TUR10-0440790
nazımdan	TUR10-0572030
ayırarak	TUR10-0061650
gazetelerde	TUR10-0285360
,	TUR10-0820240
kitaplarda	TUR10-0463990
,	TUR10-0820240
kürsülerde	TUR10-0503470
,	TUR10-0820240
mikrofonlarda	TUR10-0544820
ferih	TUR10-0268680
fahur	TUR10-0263080
yaşıyor	TUR10-0839570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beni	TUR10-0092580
dinlemeden	TUR10-0908790
öyle	TUR10-0607180
feveran	TUR10-0895700
etme	TUR10-0895700
