<DOC>	<DOC>+BDTAG
direnen	TUR10-0947210
bir	TUR10-0107030
iki	TUR10-0107030
gelincik	TUR10-0289670
ve	TUR10-0816400
papatya	TUR10-0613100
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Solgun	TUR10-0665810
ve	TUR10-0816400
buruşuk	TUR10-0126040
ruhlarımız	TUR10-0132300
ona	TUR10-0587430
çevrilecek	TUR10-0161860
,	TUR10-0820240
hayatımıza	TUR10-0334600
o	TUR10-0581470
hız	TUR10-0343030
verecek	TUR10-1049730
,	TUR10-0820240
ihtiraslarımızı	TUR10-0363910
o	TUR10-0581470
kamçılayacak	TUR10-0381700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İlk	TUR10-0369130
ışıkla	TUR10-0725580
yanaklarını	TUR10-0830620
kamçılayan	TUR10-0406770
soğuğa	TUR10-0699370
rağmen	TUR10-0641140
başımı	TUR10-0397540
çıkardım	TUR10-0363440
,	TUR10-0820240
yaklaştığımız	TUR10-0826680
Ankara'ya	TUR10-0936750
baktım	TUR10-0072920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kamış	TUR10-0407100
sepet	TUR10-0677350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Büyük	TUR10-0128840
evlerin	TUR10-0053840
büyük	TUR10-0128840
sofalarında	TUR10-0325660
havuzlu	TUR10-0333940
,	TUR10-0820240
kameriyeli	TUR10-0407030
bahçelerinde	TUR10-0071010
,	TUR10-0820240
bostanlarında	TUR10-0114570
.	TUR10-1081860
toplanıyorlar	TUR10-0853620
,	TUR10-0820240
eğleniyorlar	TUR10-0237130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Buğdayın	TUR10-0121390
sapı	TUR10-0664150
kamışsıdır	TUR10-0407200
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Masasında	TUR10-0527250
eski	TUR10-0253240
biçim	TUR10-0100990
hokkalar	TUR10-0347000
,	TUR10-0820240
kamış	TUR10-0407150
kalemler	TUR10-0407150
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kamp	TUR10-0407260
hayatı	TUR10-0334570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beni	TUR10-0092580
öyle	TUR10-0607180
bir	TUR10-0105580
dinlenme	TUR10-0207520
kampına	TUR10-0207520
alsınlar	TUR10-0029440
ki	TUR10-0459830
kapıdan	TUR10-0412920
girerken	TUR10-0298730
kimlik	TUR10-0155710
kartımla	TUR10-0423710
birlikte	TUR10-0969780
kişiliğimi	TUR10-0721410
de	TUR10-0178920
kapıda	TUR10-0412920
bırakayım	TUR10-0100220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sırasında	TUR10-0467680
ayrı	TUR10-0804040
siyasi	TUR10-0632580
kamplarda	TUR10-0407290
karşısına	TUR10-1063550
çıksalar	TUR10-1063550
da	TUR10-0994750
düşman	TUR10-0230530
görmezler	TUR10-0305610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Toplama	TUR10-0781300
kampı	TUR10-0781300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yetki	TUR10-0012890
kanununa	TUR10-0411070
gençlerin	TUR10-0291000
kampanya	TUR10-0407340
sade	TUR10-0228960
Berlin'e	TUR10-1195350
inhisar	TUR10-1058460
etmiyor	TUR10-1058460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Harp	TUR10-1045100
gemisinde	TUR10-1045100
çan	TUR10-0407310
,	TUR10-0820240
düdük	TUR10-0227980
ve	TUR10-0816400
insan	TUR10-0375940
sesleri	TUR10-0807820
birbirine	TUR10-0106060
karıştı	TUR10-0421330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kamu	TUR10-0407490
düzeniyle	TUR10-0407490
ilgili	TUR10-0565860
bu	TUR10-0120750
konuların	TUR10-0050830
yanında	TUR10-0831780
toplum	TUR10-0781800
ve	TUR10-0816400
aile	TUR10-0016320
sorunları	TUR10-0703660
da	TUR10-0178920
ele	TUR10-0893820
alınıyordu	TUR10-0893820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biz	TUR10-0110290
kimseye	TUR10-0461320
kin	TUR10-0461810
tutmayız	TUR10-0461810
Kamu	TUR10-0323170
âlem	TUR10-0026210
birdir	TUR10-0105630
bize	TUR10-0110380
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İstanbul	TUR10-0882020
sözündeki	TUR10-0505340
İstanbul	TUR10-0882020
kelimesinin	TUR10-0505340
manalarını	TUR10-0813640
anlatmak	TUR10-0038210
için	TUR10-0359030
koca	TUR10-0465490
bir	TUR10-0105580
kamus	TUR10-0407670
lazım	TUR10-0293150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yolun	TUR10-0858630
planları	TUR10-0630750
,	TUR10-0820240
projeleri	TUR10-0748660
yapılmış	TUR10-0748660
,	TUR10-0820240
istimlak	TUR10-0407600
emirleri	TUR10-0245640
çıkarılmıştı	TUR10-1059300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Garajın	TUR10-0283150
içinde	TUR10-0359150
birkaç	TUR10-0096000
tane	TUR10-0743390
aletle	TUR10-0026580
bir	TUR10-0105570
de	TUR10-0338740
ufak	TUR10-0796440
kamyondan	TUR10-0407790
başka	TUR10-0082160
bir	TUR10-1222130
şey	TUR10-1222130
yoktu	TUR10-0732000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
dönemin	TUR10-0144540
siyasal	TUR10-0632580
ve	TUR10-0816400
kamusal	TUR10-0407690
yaşamında	TUR10-0209050
en	TUR10-0246710
büyük	TUR10-0128850
sarsıntı	TUR10-0667860
dış	TUR10-0201480
olaylar	TUR10-0585260
ve	TUR10-0816400
savaşlardan	TUR10-0135870
geliyordu	TUR10-0290550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kağnıyı	TUR10-0398800
araba	TUR10-0520720
ile	TUR10-0367360
,	TUR10-0820240
kamyonet	TUR10-0407850
ile	TUR10-0367360
değiştiriyor	TUR10-0188740
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
kamyon	TUR10-0407790
kum	TUR10-0489870
getirmemi	TUR10-0294850
istedi	TUR10-0205320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ama	TUR10-0031730
üçüncü	TUR10-0806730
bekçi	TUR10-0089530
,	TUR10-0820240
onlara	TUR10-0588290
nazaran	TUR10-0571870
daha	TUR10-0178860
genç	TUR10-0291000
ve	TUR10-0816400
daha	TUR10-0178860
az	TUR10-1247530
kanaatkâr	TUR10-0407970
olan	TUR10-0123800
,	TUR10-0820240
yapılan	TUR10-0834430
haksızlığı	TUR10-0321190
sineye	TUR10-0131870
çekemedi	TUR10-0155930
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
son	TUR10-0701940
hatıralarla	TUR10-0331750
sonuna	TUR10-0576610
kadar	TUR10-0187930
idareye	TUR10-0360660
çalışıyorum	TUR10-0147900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Önde	TUR10-0427090
hava	TUR10-0253010
kanalcıklı	TUR10-0408150
disk	TUR10-0758050
ile	TUR10-0367360
arkada	TUR10-0045420
da	TUR10-0994810
kampana	TUR10-0407320
kullanılmış	TUR10-1126480
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mozambik	TUR10-0882725
Kanalı	TUR10-0714270
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kadın	TUR10-0086000
o	TUR10-0583380
kadar	TUR10-0583380
kan	TUR10-0408200
kaybetmiş	TUR10-0408200
ki	TUR10-0459830
az	TUR10-0574600
daha	TUR10-0574600
ölecekmiş	TUR10-0286080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burun	TUR10-0467310
kanaması	TUR10-0408200
,	TUR10-0820240
diş	TUR10-0209810
kırılması	TUR10-0450930
,	TUR10-0820240
ötede	TUR10-0606280
beride	TUR10-0606280
ufak	TUR10-0143230
tefek	TUR10-0143230
sıyrıklar	TUR10-0690320
ve	TUR10-0816400
şişler	TUR10-0732400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanamalı	TUR10-0408220
bir	TUR10-0105580
hasta	TUR10-0526210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0107620
kere	TUR10-0186930
gözlerime	TUR10-0308060
baksanız	TUR10-0072920
anlardınız	TUR10-0037550
Sizin	TUR10-0697860
için	TUR10-0359060
kalbimde	TUR10-0866470
canlanan	TUR10-0131360
emelleri	TUR10-0245470
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0970310
müddet	TUR10-0970310
kapı	TUR10-0412920
kanatlarının	TUR10-0408320
kenarlarını	TUR10-0440600
okşarcasına	TUR10-1202090
yokladı	TUR10-0858160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
daldan	TUR10-0179520
hızla	TUR10-1147380
geçip	TUR10-0288350
gitti	TUR10-0298980
bir	TUR10-0105580
kuş	TUR10-0496270
kanadı	TUR10-0408290
Sessizlik	TUR10-0681440
bir	TUR10-0105580
tüy	TUR10-0794770
gibi	TUR10-0297510
bir	TUR10-0105570
dakika	TUR10-0179350
sallandı	TUR10-0660870
Pırıldadı	TUR10-0626510
bir	TUR10-0105580
ateş	TUR10-0854950
böceği	TUR10-0854950
sarmaşıkta	TUR10-0667420
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yel	TUR10-0846700
değirmeni	TUR10-0846700
kanadı	TUR10-0408350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Partinin	TUR10-0271360
sol	TUR10-0700650
kanadı	TUR10-0408340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Okşayıcı	TUR10-0584030
gözlerle	TUR10-0308060
çocuk	TUR10-0171720
gönüllerimizi	TUR10-0131870
kanatlandırıyordu	TUR10-0408450
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ordunun	TUR10-0590025
sağ	TUR10-0655690
kanadı	TUR10-0655690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Benim	TUR10-0092580
için	TUR10-0359070
hiçbir	TUR10-0343540
önemi	TUR10-0849790
yoktu	TUR10-0732000
,	TUR10-0820240
aramızda	TUR10-0041290
kan	TUR10-0408640
bağı	TUR10-0408640
bile	TUR10-0810040
bulunmuyordu	TUR10-0123790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Senelerden	TUR10-0676860
beri	TUR10-0094700
leylek	TUR10-0510540
görmüyorum	TUR10-0672700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kahramanlıkları	TUR10-0029990
bir	TUR10-0105580
kaba	TUR10-0392390
ihtiras	TUR10-0363910
,	TUR10-0820240
yiğitlikleri	TUR10-0029990
bir	TUR10-0105580
kancıklık	TUR10-0408890
olabilirdi	TUR10-1102980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hepsi	TUR10-0143690
hazırlandılar	TUR10-0031920
,	TUR10-0820240
halatlar	TUR10-0322480
rota	TUR10-0648880
edildi	TUR10-0448700
,	TUR10-0820240
kancalar	TUR10-0408710
gerildi	TUR10-0294650
ve	TUR10-0816400
denizde	TUR10-0193590
köpüklü	TUR10-0482200
bir	TUR10-0105580
iz	TUR10-0850370
bırakarak	TUR10-0850370
ileri	TUR10-1055780
atıldılar	TUR10-1055780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gece	TUR10-0286270
kandili	TUR10-0409190
birdenbire	TUR10-0040320
sönmüş	TUR10-1195920
,	TUR10-0820240
oda	TUR10-0582130
zifirî	TUR10-0875510
karanlık	TUR10-0875510
kesilmişti	TUR10-1071320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fakat	TUR10-0031730
o	TUR10-0581470
,	TUR10-0820240
hayatını	TUR10-0209050
zehirleyen	TUR10-0871930
şeyin	TUR10-0729470
bu	TUR10-0120750
meşum	TUR10-0167250
kandırmaca	TUR10-0409140
olduğunu	TUR10-0405220
yıllarca	TUR10-1242170
öğrenemeyecekti	TUR10-0227360
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0315620
gün	TUR10-0314940
omuz	TUR10-0911460
silkmekle	TUR10-0911460
geçen	TUR10-0288810
aşinalar	TUR10-0053770
şimdi	TUR10-0241000
kandilli	TUR10-0409380
temennalarla	TUR10-0409380
yerlere	TUR10-1183400
kadar	TUR10-0395910
eğilerek	TUR10-1183400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kandil	TUR10-0409200
geceleri	TUR10-0409200
bu	TUR10-0120760
velilerin	TUR10-0235720
yerleri	TUR10-0849800
mumlarla	TUR10-0555370
donanırdı	TUR10-0218290
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onun	TUR10-0581470
bacağını	TUR10-0066960
kangren	TUR10-0409540
tehdit	TUR10-0476030
edip	TUR10-0756970
de	TUR10-0178920
tecrit	TUR10-0755390
ettiğimiz	TUR10-0755390
vakit	TUR10-0144520
daha	TUR10-0178860
iyi	TUR10-0335340
tanıdım	TUR10-0743900
onu	TUR10-0581470
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beş	TUR10-0095960
arkadaş	TUR10-0045570
,	TUR10-0820240
boyunlarına	TUR10-0116990
tel	TUR10-0760030
ve	TUR10-0816400
ip	TUR10-0377480
kangalları	TUR10-0409460
geçirmiş	TUR10-0288350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aynı	TUR10-0265000
anda	TUR10-0505830
nice	TUR10-0105790
analar	TUR10-0033960
kan	TUR10-0905600
ağlıyor	TUR10-0905600
,	TUR10-0820240
nice	TUR10-0105790
kanı	TUR10-0409650
ayaklılar	TUR10-0409650
dul	TUR10-0224680
,	TUR10-0820240
nice	TUR10-0105790
saçı	TUR10-0653180
bitmedikler	TUR10-0109760
yetim	TUR10-0852320
kalıyordu	TUR10-0405220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ayağın	TUR10-0059030
bilhassa	TUR10-0608130
parmak	TUR10-0615960
nahiyeleri	TUR10-0119020
kangrenli	TUR10-0409600
uzuvlara	TUR10-0805830
has	TUR10-0519180
morumtırak	TUR10-0550840
bir	TUR10-0105580
büzülme	TUR10-0129920
arz	TUR10-0048300
ediyorlardı	TUR10-0048300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ağacın	TUR10-0010900
dalını	TUR10-0179520
kanırmak	TUR10-0409790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanıksamış	TUR10-0409750
ve	TUR10-0816400
alışmış	TUR10-0377040
olduğumu	TUR10-0405220
düşünmek	TUR10-0104550
bile	TUR10-0810040
istemiyorum	TUR10-0048420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İyi	TUR10-0389010
ama	TUR10-0031730
,	TUR10-0820240
Ali	TUR10-0000000
,	TUR10-0820240
Göksel'in	TUR10-0000000
kaybolduğuna	TUR10-0085500
kani	TUR10-0410000
değildi	TUR10-0187890
ki	TUR10-0459850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kazığı	TUR10-0203280
kanırtmak	TUR10-0409790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İhtiyarlığına	TUR10-0364260
tesadüf	TUR10-1103020
eden	TUR10-1103020
bu	TUR10-0120750
son	TUR10-0701940
nesil	TUR10-0085100
kankırmızı	TUR10-0410060
çıkmış	TUR10-0220510
,	TUR10-0820240
ötekilere	TUR10-0529540
rahmet	TUR10-1122550
okutmuştu	TUR10-1122550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Köpek	TUR10-0386920
siyah	TUR10-1257090
beyaz	TUR10-0097430
karışık	TUR10-0768890
uzun	TUR10-0805360
tüylü	TUR10-0794760
bir	TUR10-0105580
kaniş	TUR10-0410010
,	TUR10-0820240
kedi	TUR10-0628940
kaplan	TUR10-0414010
postlu	TUR10-0633790
,	TUR10-0820240
yeşil	TUR10-0851640
gözlü	TUR10-0309600
bir	TUR10-0105580
tekir	TUR10-0758610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanlanan	TUR10-0410160
gözlerinden	TUR10-0308060
sıcak	TUR10-0683820
yaşlar	TUR10-0310130
akıyor	TUR10-0019890
,	TUR10-0820240
heyecan	TUR10-0340700
ve	TUR10-0816400
yorgunluğundan	TUR10-0860110
nefesi	TUR10-0573100
tıkanıyordu	TUR10-0621350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sargı	TUR10-0075860
kanlandı	TUR10-0410140
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanlı	TUR10-0410210
göz	TUR10-0308060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Öldürdüğü	TUR10-0601310
güzele	TUR10-0318100
ağlayan	TUR10-0013990
bu	TUR10-0120750
katilin	TUR10-0428490
Elleri	TUR10-0240810
kanlı	TUR10-0410170
fakat	TUR10-0031730
gözyaşları	TUR10-0310130
temizdi	TUR10-0044260
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
kanlı	TUR10-0410270
katile	TUR10-0410270
yataklık	TUR10-1180180
yapmış	TUR10-1180180
gibi	TUR10-0297510
pişmanlık	TUR10-1010320
duyuyordu	TUR10-1010320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanlı	TUR10-0410200
adam	TUR10-0339670
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Siz	TUR10-0697860
bile	TUR10-0102240
bu	TUR10-0120750
şekil	TUR10-0727420
,	TUR10-0820240
renk	TUR10-0115770
,	TUR10-0820240
koku	TUR10-0467270
zenginliğine	TUR10-0086700
kanmış	TUR10-0410310
ve	TUR10-0816400
yorulmuş	TUR10-0860260
ruhunuzla	TUR10-0649630
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Nezlenin	TUR10-0575670
bu	TUR10-0120750
pis	TUR10-0441170
kurnazlığına	TUR10-0004460
çabucacık	TUR10-1147380
kanıveririz	TUR10-0410310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yelkensiz	TUR10-0846950
ve	TUR10-0816400
dümensiz	TUR10-0229120
kotra	TUR10-0478360
,	TUR10-0820240
şimdi	TUR10-0241000
bir	TUR10-0105580
kano	TUR10-0410360
sürati	TUR10-0144250
ile	TUR10-0367370
hareket	TUR10-0328240
ediyordu	TUR10-0328240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ve	TUR10-0816400
garip	TUR10-0243230
kişisi	TUR10-0932620
köyün	TUR10-0485140
,	TUR10-0820240
avucunda	TUR10-0058490
Yağmur	TUR10-0824030
içiyor	TUR10-0359840
bir	TUR10-0105580
kanmazlık	TUR10-1055470
içinde	TUR10-0487570
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kansız	TUR10-0410580
ihtilal	TUR10-0200760
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanserli	TUR10-0410510
ur	TUR10-0574460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gururu	TUR10-0311600
okşanılan	TUR10-0583950
bir	TUR10-0105580
erkek	TUR10-0251110
ise	TUR10-1194520
ağzına	TUR10-0013290
kantarma	TUR10-0410880
geçirilmiş	TUR10-0287850
bir	TUR10-0105580
küheylan	TUR10-0500730
kadar	TUR10-0395940
âcizdi	TUR10-0003560
,	TUR10-0820240
elinizde	TUR10-0240810
esirdir	TUR10-0000770
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
kantarlık	TUR10-0410720
odun	TUR10-0582520
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tıpkı	TUR10-0106460
kantocu	TUR10-0411030
bir	TUR10-0105580
kız	TUR10-0046130
gibi	TUR10-0046130
ellerini	TUR10-0240810
şakırdatıp	TUR10-0721880
omuzlarını	TUR10-0167790
titretiyordu	TUR10-0778250
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kantodan	TUR10-0411010
piyese	TUR10-0630450
kadar	TUR10-0395920
her	TUR10-0339330
gösteriye	TUR10-0306830
katılıyor	TUR10-0428040
,	TUR10-0820240
herkesi	TUR10-0545590
hüzne	TUR10-0352290
,	TUR10-0820240
sevgiye	TUR10-0405460
,	TUR10-0820240
coşkuya	TUR10-0142410
,	TUR10-0820240
isteğe	TUR10-0364720
boğuyordu	TUR10-0111730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Buradaki	TUR10-0124730
yasaların	TUR10-0411070
yabancıların	TUR10-0243230
ev	TUR10-0053840
satın	TUR10-0386730
almalarına	TUR10-0386730
mâni	TUR10-0027580
olup	TUR10-0027580
olmadığını	TUR10-0405220
bilmiyordu	TUR10-0104510
henüz	TUR10-0178850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kantoculuk	TUR10-0411040
üzerine	TUR10-0811730
tartışmayı	TUR10-0157050
bal	TUR10-0073240
gibi	TUR10-0297540
önlemişti	TUR10-0603770
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanunun	TUR10-0411070
ilk	TUR10-0369130
kez	TUR10-0186930
Farabi	TUR10-0000000
tarafından	TUR10-0915550
yapıldığı	TUR10-0834430
söylenir	TUR10-0706590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dünyanın	TUR10-0161470
en	TUR10-0246710
büyük	TUR10-0028300
kanunu	TUR10-0411070
,	TUR10-0820240
nefsini	TUR10-0573510
müdafaa	TUR10-0573510
ve	TUR10-0816400
muhafaza	TUR10-0658740
etmek	TUR10-0476820
için	TUR10-0359030
karnını	TUR10-0287590
doyurmaktır	TUR10-0287590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Alaydan	TUR10-0024650
yetişen	TUR10-0852650
mutlaka	TUR10-0076380
talimnameyi	TUR10-0742070
,	TUR10-0820240
dâhiliye	TUR10-0179040
kanunnamesini	TUR10-0411320
vesaireyi	TUR10-0818610
bilir	TUR10-0104510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Anayasa	TUR10-0411400
Mahkemesi	TUR10-0518350
.	TUR10-1081860
kanun	TUR10-0411230
koyucu	TUR10-0411230
gibi	TUR10-0297530
hareketle	TUR10-0185060
yeni	TUR10-0848690
bir	TUR10-0105580
uygulamaya	TUR10-0802200
yol	TUR10-1130430
açacak	TUR10-1130430
biçimde	TUR10-0101000
hüküm	TUR10-0518360
tesis	TUR10-1160100
edemez	TUR10-1160100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evin	TUR10-0053840
en	TUR10-0246710
alt	TUR10-0031070
katına	TUR10-0031070
indik	TUR10-0375650
,	TUR10-0820240
oradan	TUR10-0589410
da	TUR10-0178920
bir	TUR10-0105580
mahzen	TUR10-0519590
kapağı	TUR10-0411580
açtılar	TUR10-0006390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kanunsuz	TUR10-0411350
bir	TUR10-0105580
grev	TUR10-0310680
barikatında	TUR10-0077890
ilk	TUR10-0369130
kurşun	TUR10-0537520
senin	TUR10-0676460
alnına	TUR10-0027730
çarpar	TUR10-0184490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapağını	TUR10-0411590
,	TUR10-0820240
geceleri	TUR10-0793130
aynı	TUR10-0062710
masa	TUR10-0232720
etrafında	TUR10-0258720
buluştuğu	TUR10-0123920
ressamlardan	TUR10-0646620
birine	TUR10-0106990
çizdirecekti	TUR10-0171400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dolap	TUR10-0216220
kapağı	TUR10-0411590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapaklık	TUR10-0411730
karton	TUR10-0424070
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sofraya	TUR10-0698880
ağzı	TUR10-0013290
aşağı	TUR10-0052100
kapaklanmıştı	TUR10-0411690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ateşoğlu	TUR10-0000000
ile	TUR10-0367360
yirmi	TUR10-0856810
yıldır	TUR10-0676860
denizde	TUR10-0193590
yoldaşlık	TUR10-0858990
ederim	TUR10-0858990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
sözün	TUR10-0505340
zımni	TUR10-0874310
anlamı	TUR10-0037520
şudur	TUR10-0734010
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hasan	TUR10-0000000
,	TUR10-0820240
yıldırımla	TUR10-0657370
vurulmuş	TUR10-0822220
gibi	TUR10-0297510
hemen	TUR10-0338840
kapıyı	TUR10-0412920
kapadı	TUR10-0773060
,	TUR10-0820240
kaçtı	TUR10-0669990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0572460
dediği	TUR10-0191150
bilinmez	TUR10-0104510
,	TUR10-0820240
anlaşılmaz	TUR10-0037550
kapalı	TUR10-0411990
kutu	TUR10-0411990
şiirleri	TUR10-0525650
öpüp	TUR10-0604290
başımıza	TUR10-0050860
koymak	TUR10-0478990
lazım	TUR10-0724810
geliyor	TUR10-0724810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kar	TUR10-0415040
yolu	TUR10-0858650
kapamıştı	TUR10-0412170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
yapı	TUR10-0376640
manzarayı	TUR10-0189710
kapadı	TUR10-0412160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fabrikayı	TUR10-1212260
kapamışlar	TUR10-0412200
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Elektriği	TUR10-0241650
kapadı	TUR10-0412190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Vurguncular	TUR10-0821720
kumaşları	TUR10-0490180
kapamışlar	TUR10-0412230
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581460
konuyu	TUR10-0679150
kapayalım	TUR10-0412210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yağmurlardan	TUR10-0824030
,	TUR10-0820240
rutubetten	TUR10-0600580
içinde	TUR10-0359150
paslı	TUR10-0617360
,	TUR10-0820240
